Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","001","World","5111","Stocks","02111","Cattle","1961","1961","An","942122097","A","Official figure",""
"QCL","Crops and livestock products","001","World","5111","Stocks","02111","Cattle","1962","1962","An","957121229","A","Official figure",""
"QCL","Crops and livestock products","001","World","5111","Stocks","02111","Cattle","1963","1963","An","970331395","A","Official figure",""
"QCL","Crops and livestock products","001","World","5111","Stocks","02111","Cattle","1964","1964","An","987525060","A","Official figure",""
"QCL","Crops and livestock products","001","World","5111","Stocks","02111","Cattle","1965","1965","An","1008857195","A","Official figure",""
"QCL","Crops and livestock products","001","World","5111","Stocks","02111","Cattle","1966","1966","An","1027693877","A","Official figure",""
"QCL","Crops and livestock products","001","World","5111","Stocks","02111","Cattle","1967","1967","An","1049721175","A","Official figure",""
"QCL","Crops and livestock products","001","World","5111","Stocks","02111","Cattle","1968","1968","An","1064606627","A","Official figure",""
"QCL","Crops and livestock products","001","World","5111","Stocks","02111","Cattle","1969","1969","An","1069826761","A","Official figure",""
"QCL","Crops and livestock products","001","World","5111","Stocks","02111","Cattle","1970","1970","An","1081581057","A","Official figure",""
"QCL","Crops and livestock products","001","World","5111","Stocks","02111","Cattle","1971","1971","An","1096587746","A","Official figure",""
"QCL","Crops and livestock products","001","World","5111","Stocks","02111","Cattle","1972","1972","An","1119270076","A","Official figure",""
"QCL","Crops and livestock products","001","World","5111","Stocks","02111","Cattle","1973","1973","An","1138667102","A","Official figure",""
"QCL","Crops and livestock products","001","World","5111","Stocks","02111","Cattle","1974","1974","An","1166714169","A","Official figure",""
"QCL","Crops and livestock products","001","World","5111","Stocks","02111","Cattle","1975","1975","An","1187875123","A","Official figure",""
"QCL","Crops and livestock products","001","World","5111","Stocks","02111","Cattle","1976","1976","An","1199300412","A","Official figure",""
"QCL","Crops and livestock products","001","World","5111","Stocks","02111","Cattle","1977","1977","An","1204063622","A","Official figure",""
"QCL","Crops and livestock products","001","World","5111","Stocks","02111","Cattle","1978","1978","An","1205679621","A","Official figure",""
"QCL","Crops and livestock products","001","World","5111","Stocks","02111","Cattle","1979","1979","An","1210627837","A","Official figure",""
"QCL","Crops and livestock products","001","World","5111","Stocks","02111","Cattle","1980","1980","An","1216682145","A","Official figure",""
"QCL","Crops and livestock products","001","World","5111","Stocks","02111","Cattle","1981","1981","An","1228366016","A","Official figure",""
"QCL","Crops and livestock products","001","World","5111","Stocks","02111","Cattle","1982","1982","An","1242183541","A","Official figure",""
"QCL","Crops and livestock products","001","World","5111","Stocks","02111","Cattle","1983","1983","An","1249448026","A","Official figure",""
"QCL","Crops and livestock products","001","World","5111","Stocks","02111","Cattle","1984","1984","An","1256544676","A","Official figure",""
"QCL","Crops and livestock products","001","World","5111","Stocks","02111","Cattle","1985","1985","An","1261444212","A","Official figure",""
"QCL","Crops and livestock products","001","World","5111","Stocks","02111","Cattle","1986","1986","An","1268268786","A","Official figure",""
"QCL","Crops and livestock products","001","World","5111","Stocks","02111","Cattle","1987","1987","An","1268378674","A","Official figure",""
"QCL","Crops and livestock products","001","World","5111","Stocks","02111","Cattle","1988","1988","An","1274153574","A","Official figure",""
"QCL","Crops and livestock products","001","World","5111","Stocks","02111","Cattle","1989","1989","An","1291426005","A","Official figure",""
"QCL","Crops and livestock products","001","World","5111","Stocks","02111","Cattle","1990","1990","An","1299122399","A","Official figure",""
"QCL","Crops and livestock products","001","World","5111","Stocks","02111","Cattle","1991","1991","An","1302206293","A","Official figure",""
"QCL","Crops and livestock products","001","World","5111","Stocks","02111","Cattle","1992","1992","An","1309777478","A","Official figure",""
"QCL","Crops and livestock products","001","World","5111","Stocks","02111","Cattle","1993","1993","An","1310377228","A","Official figure",""
"QCL","Crops and livestock products","001","World","5111","Stocks","02111","Cattle","1994","1994","An","1321016835","A","Official figure",""
"QCL","Crops and livestock products","001","World","5111","Stocks","02111","Cattle","1995","1995","An","1330057910","A","Official figure",""
"QCL","Crops and livestock products","001","World","5111","Stocks","02111","Cattle","1996","1996","An","1332924534","A","Official figure",""
"QCL","Crops and livestock products","001","World","5111","Stocks","02111","Cattle","1997","1997","An","1311768147","A","Official figure",""
"QCL","Crops and livestock products","001","World","5111","Stocks","02111","Cattle","1998","1998","An","1313066905","A","Official figure",""
"QCL","Crops and livestock products","001","World","5111","Stocks","02111","Cattle","1999","1999","An","1316521397","A","Official figure",""
