Year,Widlife_images,cameras
2025,97766341,219896
2024
2023
2022,40997103,42510
2021,27294703,30419
2020,19249600,22757
2019,14601758,18316
2018,10771533,14540
2017,8866734,12563
2016,6975774,10068
2015,5185363,8320
2014,3786530,6788
2013,2537739,5458
2012,1664162,4798
2011,984901,3922
2010,453155,2863
2009,211338,2278
2008,82448,1751
2007,49168,1559
2006,44788,1352
2005,41324,1195
2004,38536,1024
2003,35136,941
2002,30888,729
2001,29812,574
2000,28289,464
1999,213,108
1998,99,3
1997,99,3
1996,99,3
1995,0,2
1994,0,2
1993,0,1
1992,0,1
