"","hamming","rf","rrf","nniu","rspr","tbr"
"1",3,50,50,145,3,3
"2",8,90,90,299,10,10
"3",5,94,94,306,5,5
"4",5,48,48,126,7,7
"5",7,82,82,254,11,11
"6",7,84,84,275,8,8
"7",2,44,44,120,2,2
"8",7,108,108,369,10,10
"9",9,96,96,282,12,12
"10",4,78,78,251,4,4
"11",4,60,60,163,5,5
"12",7,94,96,313,9,8
"13",4,50,50,114,5,5
"14",5,64,64,195,7,7
"15",1,10,10,10,2,2
"16",2,14,14,13,2,2
"17",7,90,90,299,8,8
"18",4,66,66,152,5,5
"19",9,108,108,362,14,14
"20",5,68,68,211,5,5
"21",6,110,110,377,7,7
"22",4,60,60,167,4,4
"23",10,110,110,377,12,12
"24",6,80,80,223,9,9
"25",1,18,18,21,1,1
"26",2,38,38,94,3,3
"27",6,62,62,182,8,8
"28",1,2,2,1,1,1
"29",9,88,88,271,11,11
"30",7,92,94,305,9,8
"31",5,72,72,227,5,5
"32",6,90,90,299,8,8
"33",8,84,84,275,9,9
"34",6,88,88,278,9,8
"35",7,94,94,306,9,9
"36",5,98,98,329,7,7
"37",7,76,76,243,9,9
"38",10,96,96,321,14,13
"39",10,116,116,401,16,16
"40",2,62,62,182,3,3
"41",3,44,44,115,7,7
"42",6,96,96,321,6,6
"43",9,98,98,322,11,11
"44",8,92,92,271,11,11
"45",2,28,28,63,2,2
"46",3,32,32,73,5,5
"47",2,34,34,91,3,3
"48",5,90,90,292,8,8
"49",7,88,88,291,9,9
"50",9,58,58,155,12,11
"51",4,54,54,153,4,4
"52",6,52,52,146,7,7
"53",2,52,52,152,4,4
"54",5,62,62,162,6,6
"55",4,78,78,251,4,4
"56",4,86,86,283,6,6
"57",9,84,84,275,14,14
"58",8,90,90,299,11,11
"59",7,88,88,291,9,9
"60",9,82,82,267,12,12
"61",7,88,88,291,10,10
"62",5,88,88,291,5,5
"63",5,62,62,162,9,9
"64",9,118,118,408,14,14
"65",7,124,124,429,7,7
"66",4,100,100,312,4,4
"67",7,82,82,253,8,8
"68",9,112,112,385,10,10
"69",1,10,10,10,3,3
"70",10,86,86,276,16,16
"71",9,110,110,377,12,12
"72",7,114,114,393,8,8
"73",10,102,102,345,15,15
"74",1,16,16,18,3,3
"75",1,34,34,91,1,1
"76",10,110,110,377,11,11
"77",3,68,68,211,4,4
"78",4,12,12,10,5,4
"79",9,88,90,291,12,12
"80",9,100,100,337,11,11
"81",2,16,16,18,4,4
"82",4,38,38,105,6,6
"83",1,22,24,52,1,1
"84",8,102,104,345,10,10
"85",3,76,78,213,3,3
"86",5,56,56,159,6,6
"87",1,2,2,1,1,1
"88",10,92,94,305,13,13
"89",3,72,74,227,4,4
"90",2,18,18,19,3,3
"91",8,80,82,259,12,12
"92",4,62,64,134,6,6
"93",9,120,122,415,9,9
"94",9,104,106,353,13,13
"95",7,108,110,362,8,8
"96",7,68,68,183,9,8
"97",8,114,116,393,9,9
"98",9,86,88,283,13,12
"99",1,36,36,98,1,1
"100",7,100,100,294,11,11
"101",7,88,88,291,12,12
"102",3,38,38,105,3,3
"103",4,70,70,219,6,6
"104",5,70,70,212,5,5
"105",9,88,90,284,10,10
"106",4,66,66,203,6,6
"107",5,78,78,244,6,6
"108",6,88,88,291,10,10
"109",5,72,72,227,5,5
"110",2,14,14,13,2,2
"111",1,26,26,62,1,1
"112",3,70,70,219,4,4
"113",4,80,80,198,6,6
"114",7,76,76,243,10,10
"115",9,104,104,353,14,14
"116",5,94,96,313,5,5
"117",8,102,102,338,9,9
