"","nni","spr","tbr"
"1",5,23,5
"2",5,39,7
"3",4,22,10
"4",1,11,23
"5",9,8,49
"6",8,34,31
"7",1,11,33
"8",1,4,24
"9",1,46,6
"10",4,47,6
"11",1,39,24
"12",4,22,22
"13",5,40,13
"14",5,13,27
"15",31,7,35
"16",12,30,24
"17",1,5,6
"18",22,4,14
"19",6,9,12
"20",8,18,11
"21",5,5,10
"22",2,19,14
"23",1,19,37
"24",5,7,4
"25",1,16,7
"26",1,11,28
"27",8,2,40
"28",2,2,12
"29",2,4,50
"30",2,6,43
"31",2,4,21
"32",9,29,20
"33",1,5,7
"34",1,29,28
"35",1,18,39
"36",1,28,36
"37",1,7,11
"38",1,28,38
"39",4,34,1
"40",5,6,21
"41",2,9,19
"42",10,8,5
"43",11,8,13
"44",1,41,12
"45",1,20,1
"46",8,5,3
"47",1,28,17
"48",5,2,44
"49",6,4,2
"50",16,6,34
"51",1,43,29
"52",1,29,1
"53",9,27,37
"54",10,8,13
"55",19,1,15
"56",25,4,1
"57",2,8,9
"58",9,14,18
"59",2,25,52
"60",2,8,14
"61",1,28,1
"62",1,15,24
"63",1,40,26
"64",19,1,18
"65",1,26,6
"66",1,14,32
"67",10,22,8
"68",1,29,26
"69",6,17,2
"70",3,12,20
"71",1,21,43
"72",7,30,1
"73",5,5,20
"74",1,3,33
"75",1,2,9
"76",1,22,1
"77",1,29,24
"78",20,22,3
"79",4,16,6
"80",10,3,27
"81",1,16,10
"82",1,13,14
"83",1,24,16
"84",1,20,35
"85",5,49,46
"86",10,23,4
"87",14,4,5
"88",20,20,2
"89",1,38,29
"90",1,1,46
"91",14,10,46
"92",8,1,16
"93",9,14,48
"94",1,24,15
"95",23,6,11
"96",8,7,29
"97",3,26,30
"98",1,14,30
"99",1,12,10
"100",1,6,15
"101",1,27,1
"102",7,13,14
"103",15,4,2
"104",11,22,1
"105",3,13,24
"106",3,36,14
"107",1,1,9
"108",2,22,4
"109",1,1,29
"110",1,5,3
"111",25,2,9
"112",10,17,47
"113",1,9,8
"114",18,26,9
"115",8,12,20
"116",3,17,24
"117",1,4,19
"118",1,32,8
"119",18,1,18
"120",1,15,4
"121",5,22,10
"122",1,34,13
"123",2,3,18
"124",8,16,26
"125",1,2,23
"126",3,21,2
"127",1,35,1
"128",14,14,3
"129",1,2,35
"130",14,15,22
"131",11,2,46
"132",2,5,11
"133",2,21,3
"134",1,8,2
"135",7,9,30
"136",1,13,17
"137",21,20,2
"138",6,30,1
"139",2,10,17
"140",1,5,9
"141",21,22,21
"142",20,11,8
"143",3,29,1
"144",6,3,9
"145",6,2,4
"146",4,6,6
"147",10,6,5
"148",1,8,19
"149",1,37,19
"150",14,4,2
"151",4,22,21
"152",5,2,4
"153",8,21,18
"154",1,10,19
"155",3,4,18
"156",16,31,3
"157",1,17,6
"158",1,8,38
"159",1,44,5
"160",3,3,25
"161",1,8,14
"162",1,4,1
"163",1,2,14
"164",8,9,16
"165",19,18,42
"166",1,28,2
"167",1,28,32
"168",1,29,38
"169",1,3,33
"170",19,15,18
"171",9,42,20
"172",4,15,52
"173",21,8,11
"174",1,34,31
"175",2,17,31
"176",6,2,13
"177",6,19,32
"178",3,9,12
