"","hamming","rf","rrf","nniu","rspr","tbr"
"1",1,24,24,57,2,2
"2",1,4,4,3,2,2
"3",1,2,2,1,1,1
"4",1,34,34,91,1,1
"5",1,2,2,1,1,1
"6",1,28,28,67,1,1
"7",1,16,16,18,1,1
"8",1,34,34,91,2,2
"9",1,26,26,62,3,3
"10",1,4,4,3,1,1
"11",1,10,10,10,1,1
"12",1,46,46,131,1,1
"13",1,4,4,3,2,2
"14",1,10,10,10,1,1
"15",1,6,6,5,1,1
"16",1,26,26,62,4,4
"17",1,8,8,7,1,1
"18",1,10,10,10,1,1
"19",1,4,4,3,1,1
"20",1,34,34,91,1,1
"21",1,50,50,145,1,1
"22",1,26,26,62,1,1
"23",1,2,2,1,1,1
"24",0,0,0,0,0,0
"25",1,20,20,47,1,1
"26",1,2,2,1,1,1
"27",1,8,8,7,3,3
"28",1,4,4,3,1,1
"29",1,8,8,7,2,2
"30",1,8,8,7,2,2
"31",1,20,20,47,1,1
"32",1,40,40,112,1,1
"33",1,48,48,138,1,1
"34",1,2,2,1,1,1
"35",1,12,12,12,2,2
"36",1,22,22,52,1,1
"37",1,2,2,1,1,1
"38",1,32,32,84,1,1
"39",1,2,2,1,1,1
"40",1,14,14,15,3,3
"41",1,24,24,57,1,1
"42",1,38,38,105,1,1
"43",1,2,2,1,1,1
"44",1,6,6,5,2,2
"45",1,24,24,57,1,1
"46",1,4,4,3,2,2
"47",1,20,20,47,1,1
"48",1,2,2,1,1,1
"49",1,54,54,158,1,1
"50",1,4,4,3,2,2
"51",1,32,32,84,2,2
"52",1,42,42,119,2,2
"53",1,32,32,84,1,1
"54",1,36,36,98,2,2
"55",1,16,16,18,1,1
"56",1,26,26,62,1,1
"57",1,2,2,1,1,1
"58",1,16,16,18,2,2
"59",1,2,2,1,1,1
"60",1,38,38,105,3,3
"61",0,0,0,0,0,0
"62",1,36,36,98,2,2
"63",1,4,4,3,2,2
"64",1,40,40,112,1,1
"65",1,6,6,5,1,1
"66",1,4,4,3,2,2
"67",1,30,30,72,1,1
"68",1,2,2,1,1,1
"69",1,14,14,15,3,3
"70",1,28,28,67,1,1
"71",1,46,46,131,1,1
"72",1,26,26,62,2,2
"73",1,18,18,21,2,2
"74",1,2,2,1,1,1
"75",1,30,30,72,1,1
"76",1,38,38,105,1,1
"77",1,2,2,1,1,1
"78",1,36,36,98,3,3
"79",1,12,12,12,3,3
"80",1,22,22,52,1,1
"81",1,28,28,67,3,3
"82",1,32,32,84,1,1
"83",1,16,16,18,3,3
"84",1,2,2,1,1,1
"85",1,30,30,72,1,1
"86",1,2,2,1,1,1
"87",1,2,2,1,1,1
"88",1,6,6,5,2,2
"89",1,32,32,84,1,1
"90",1,60,60,176,1,1
"91",1,34,34,91,3,3
"92",1,40,40,112,1,1
"93",1,2,2,1,1,1
"94",1,30,30,72,3,3
"95",1,8,8,7,1,1
"96",1,2,2,1,1,1
"97",1,4,4,3,1,1
"98",1,14,14,15,1,1
"99",1,38,38,105,1,1
"100",1,2,2,1,1,1
"101",1,40,40,112,2,2
"102",1,8,8,7,3,3
"103",1,10,10,10,1,1
"104",1,16,16,18,1,1
"105",1,32,32,84,1,1
"106",1,4,4,3,1,1
"107",1,10,10,10,1,1
"108",1,8,8,7,1,1
"109",1,2,2,1,1,1
"110",1,44,44,124,2,2
"111",1,44,44,124,1,1
"112",1,28,28,67,1,1
"113",1,4,4,3,2,1
"114",1,22,22,52,4,4
"115",1,14,14,15,1,1
"116",1,34,34,91,2,2
"117",1,2,2,1,1,1
"118",1,16,16,18,1,1
"119",1,32,32,84,1,1
"120",1,12,12,12,1,1
"121",1,26,26,62,3,3
"122",1,16,16,18,3,3
"123",1,34,34,91,3,3
"124",1,4,4,3,2,2
"125",1,14,14,15,1,1
"126",1,34,34,91,3,3
"127",1,2,2,1,1,1
"128",1,30,30,72,1,1
"129",1,10,10,10,1,1
"130",1,32,32,84,4,4
"131",1,54,54,158,3,3
"132",1,28,28,67,1,1
"133",1,42,42,119,1,1
"134",1,50,50,145,2,2
"135",1,2,2,1,1,1
"136",1,8,8,7,2,2
"137",1,26,26,62,1,1
"138",1,24,24,57,1,1
"139",1,0,2,0,1,0
"140",1,12,12,12,1,1
"141",1,8,8,7,1,1
"142",1,46,46,131,1,1
"143",1,4,4,3,2,2
"144",0,0,0,0,0,0
"145",1,40,40,112,1,1
"146",1,44,44,124,1,1
"147",1,38,38,105,1,1
"148",1,2,2,1,1,1
"149",1,2,2,1,1,1
"150",1,36,38,98,1,1
"151",1,8,10,7,1,1
"152",1,28,28,67,1,1
"153",1,48,48,138,1,1
"154",1,8,8,7,2,2
"155",1,38,38,105,1,1
"156",1,4,4,3,2,2
"157",1,2,4,1,2,1
"158",1,38,38,105,1,1
"159",1,48,50,138,1,1
"160",1,18,18,21,1,1
"161",1,4,4,3,2,2
"162",1,58,60,170,1,1
"163",1,2,2,1,1,1
"164",1,20,22,47,2,2
"165",1,56,58,164,1,1
"166",1,30,30,72,2,2
"167",1,52,52,152,2,2
"168",1,2,2,1,1,1
"169",1,38,38,105,1,1
"170",1,30,32,72,1,1
"171",1,42,42,119,2,2
"172",1,24,26,57,3,3
"173",1,2,2,1,1,1
"174",1,8,8,7,1,1
"175",1,56,58,164,2,2
"176",1,0,2,0,1,0
"177",1,6,6,5,1,1
"178",1,50,50,145,1,1
"179",1,0,2,0,1,0
"180",1,32,32,84,1,1
"181",1,2,2,1,1,1
"182",1,2,2,1,1,1
"183",1,2,2,1,1,1
"184",1,2,2,1,1,1
"185",1,2,2,1,1,1
"186",1,38,38,105,1,1
"187",1,4,4,3,1,1
"188",1,2,2,1,1,1
"189",1,14,16,15,1,1
"190",1,12,12,12,2,2
"191",1,44,44,124,1,1
"192",1,14,14,15,1,1
"193",1,34,36,91,1,1
"194",1,40,40,112,1,1
"195",1,14,16,15,1,1
"196",1,4,4,3,2,2
"197",1,46,46,131,1,1
"198",1,62,62,182,1,1
"199",1,60,60,176,2,2
"200",1,32,34,84,1,1
"201",1,30,30,72,1,1
"202",1,2,2,1,1,1
"203",1,38,40,105,1,1
"204",1,4,4,3,2,2
"205",1,36,38,98,1,1
"206",1,26,26,62,1,1
"207",1,4,4,3,2,2
"208",1,2,2,1,1,1
"209",1,22,24,52,1,1
"210",1,26,26,62,3,3
"211",0,0,0,0,0,0
"212",0,0,0,0,0,0
"213",1,42,44,119,3,3
"214",1,44,46,124,1,1
"215",1,42,44,119,1,1
"216",1,22,24,52,4,4
"217",1,10,12,10,1,1
"218",1,48,50,138,1,1
"219",1,44,44,124,1,1
"220",1,2,2,1,1,1
"221",0,0,0,0,0,0
"222",1,52,54,152,1,1
"223",1,72,74,227,2,2
"224",1,4,4,3,2,2
"225",1,30,30,72,1,1
"226",1,14,14,15,2,2
"227",1,2,2,1,1,1
"228",1,52,54,152,1,1
"229",1,10,10,10,2,2
"230",1,26,26,62,2,2
"231",1,62,64,182,2,2
"232",1,4,4,3,2,2
"233",1,8,8,7,1,1
"234",1,16,16,18,2,2
"235",1,22,22,52,1,1
"236",1,50,52,145,1,1
"237",1,50,52,145,3,3
"238",1,28,28,67,1,1
"239",1,6,6,5,2,2
"240",1,36,36,98,1,1
"241",1,36,38,98,1,1
"242",1,32,32,84,1,1
"243",1,24,24,57,2,2
"244",1,52,54,152,1,1
"245",1,30,30,72,2,2
"246",1,28,28,67,1,1
"247",1,24,24,57,1,1
"248",1,16,16,18,1,1
"249",1,44,44,124,1,1
"250",1,22,22,52,1,1
"251",1,18,18,21,1,1
"252",1,54,54,158,1,1
"253",1,46,46,131,1,1
"254",1,16,16,18,2,2
"255",1,18,18,21,1,1
"256",1,10,10,10,2,2
"257",1,38,38,105,1,1
"258",1,54,54,158,4,4
"259",1,60,60,176,1,1
"260",1,4,4,3,2,2
"261",1,2,2,1,1,1
"262",1,36,36,98,1,1
"263",1,22,22,52,1,1
"264",1,4,4,3,2,2
"265",1,30,30,72,1,1
"266",1,38,38,105,1,1
"267",1,2,2,1,1,1
"268",1,64,64,195,2,2
"269",1,42,44,119,1,1
"270",1,36,36,98,1,1
"271",1,64,64,195,2,2
"272",1,22,22,52,1,1
"273",1,38,40,105,2,2
"274",1,40,42,112,1,1
"275",1,28,30,67,1,1
"276",1,2,2,1,1,1
"277",1,60,60,176,1,1
"278",1,14,14,15,2,2
"279",1,10,10,10,2,2
"280",1,8,8,7,2,2
"281",1,32,34,84,1,1
"282",1,2,2,1,1,1
"283",1,12,12,12,1,1
"284",1,6,6,5,2,2
"285",1,54,56,158,1,1
"286",1,10,10,10,2,2
"287",1,2,2,1,1,1
"288",1,2,2,1,1,1
"289",1,2,2,1,1,1
"290",1,6,6,5,2,2
"291",1,6,6,5,2,2
"292",1,60,60,176,1,1
"293",1,6,6,5,2,2
"294",1,34,34,91,4,4
"295",1,30,30,72,1,1
"296",1,36,38,98,1,1
"297",1,22,22,52,1,1
"298",1,8,8,7,1,1
"299",1,8,10,7,2,2
"300",1,50,52,145,4,4
"301",1,2,2,1,1,1
"302",1,42,44,119,1,1
"303",1,2,2,1,1,1
"304",1,2,2,1,1,1
"305",1,40,42,112,1,1
"306",1,58,60,170,1,1
"307",1,54,56,158,1,1
"308",0,0,0,0,0,0
"309",1,34,34,91,1,1
"310",1,2,2,1,1,1
"311",1,46,46,131,1,1
"312",1,44,46,124,1,1
"313",1,42,44,119,1,1
"314",1,22,22,52,1,1
"315",1,2,2,1,1,1
"316",1,16,16,18,3,3
"317",1,4,4,3,2,2
"318",1,34,34,91,1,1
"319",1,34,34,91,3,3
"320",1,46,48,131,1,1
"321",1,2,2,1,1,1
"322",1,2,2,1,1,1
"323",1,26,26,62,1,1
"324",1,12,12,12,1,1
"325",1,8,8,7,1,1
"326",1,6,6,5,1,1
"327",1,20,22,47,3,3
"328",1,32,32,84,1,1
"329",1,20,20,47,1,1
"330",1,18,20,21,2,2
"331",1,2,2,1,1,1
"332",1,4,4,3,2,2
"333",1,6,6,5,1,1
"334",1,52,52,152,1,1
"335",1,22,24,52,2,2
"336",1,22,22,52,2,2
"337",1,30,30,72,1,1
"338",1,24,24,57,2,2
"339",1,8,8,7,2,2
"340",1,4,4,3,2,1
"341",1,32,34,84,1,1
"342",1,8,8,7,1,1
"343",1,30,30,72,1,1
"344",1,16,16,18,2,2
"345",1,42,44,119,1,1
"346",1,40,40,112,3,3
"347",1,70,72,219,1,1
"348",1,36,38,98,1,1
"349",1,36,38,98,2,2
"350",1,12,12,12,2,2
"351",1,2,2,1,1,1
"352",1,4,6,3,2,2
"353",1,50,50,145,1,1
"354",1,46,46,131,2,2
"355",1,6,6,5,2,2
"356",1,42,42,119,3,3
"357",1,54,54,158,3,3
"358",1,30,30,72,1,1
"359",1,32,32,84,1,1
"360",1,24,24,57,1,1
"361",1,2,2,1,1,1
"362",1,30,30,72,1,1
"363",1,44,44,124,1,1
"364",1,28,28,67,1,1
"365",1,2,2,1,1,1
"366",1,30,30,72,1,1
"367",1,2,2,1,1,1
"368",1,2,2,1,1,1
"369",1,2,2,1,1,1
"370",1,56,56,164,3,3
"371",1,38,38,105,1,1
"372",1,16,16,18,1,1
"373",1,26,26,62,1,1
"374",1,34,34,91,1,1
"375",1,4,4,3,1,1
"376",1,38,38,105,2,2
"377",1,26,26,62,2,2
"378",1,2,2,1,1,1
"379",1,4,4,3,1,1
"380",1,26,26,62,1,1
"381",1,14,14,15,1,1
"382",1,34,34,91,1,1
"383",1,2,2,1,1,1
"384",1,42,42,119,1,1
"385",1,40,40,112,1,1
"386",1,32,32,84,1,1
"387",1,42,42,119,3,3
"388",1,40,40,112,1,1
"389",1,2,2,1,1,1
"390",1,26,26,62,1,1
"391",1,42,42,119,3,3
"392",1,38,38,105,1,1
"393",1,52,52,152,1,1
"394",1,18,18,21,1,1
"395",1,8,8,7,1,1
"396",1,76,76,243,1,1
"397",1,2,2,1,1,1
"398",1,34,34,91,1,1
"399",1,18,18,21,2,2
"400",1,60,60,176,1,1
"401",1,58,58,170,1,1
"402",1,60,60,176,2,2
"403",1,2,2,1,1,1
"404",1,2,2,1,1,1
"405",1,26,26,62,1,1
"406",1,48,48,138,1,1
"407",1,66,66,203,1,1
"408",1,12,12,12,2,2
"409",1,2,2,1,1,1
"410",1,28,28,67,1,1
"411",1,44,44,124,1,1
"412",1,48,48,138,1,1
"413",1,26,26,62,1,1
"414",1,24,24,57,1,1
"415",1,50,50,145,2,2
"416",1,2,2,1,1,1
"417",1,2,2,1,1,1
"418",1,52,52,152,1,1
"419",1,30,30,72,3,3
"420",1,50,50,145,1,1
"421",1,52,52,152,1,1
"422",1,34,34,91,1,1
"423",1,2,2,1,1,1
"424",1,2,2,1,1,1
"425",1,30,30,72,1,1
"426",1,40,40,112,1,1
"427",1,32,32,84,1,1
"428",0,0,0,0,0,0
"429",1,50,50,145,1,1
"430",1,22,22,52,2,2
"431",1,36,36,98,1,1
"432",1,52,52,152,1,1
"433",1,28,28,67,2,2
"434",1,44,44,124,1,1
"435",1,2,2,1,1,1
"436",1,2,2,1,1,1
"437",1,2,2,1,1,1
"438",1,18,18,21,2,2
"439",1,52,52,152,1,1
"440",1,28,28,67,1,1
"441",1,2,2,1,1,1
"442",1,28,28,67,1,1
"443",1,56,56,164,1,1
"444",1,32,32,84,1,1
"445",1,2,2,1,1,1
"446",1,2,2,1,1,1
"447",1,24,24,57,1,1
"448",1,2,2,1,1,1
"449",1,18,18,21,2,2
"450",1,2,2,1,1,1
"451",1,10,10,10,1,1
"452",0,0,0,0,0,0
"453",1,48,48,138,1,1
"454",1,36,36,98,1,1
"455",1,56,56,164,1,1
"456",1,22,22,52,3,3
"457",1,32,32,84,1,1
"458",1,38,38,105,2,2
"459",1,44,44,124,1,1
"460",1,32,32,84,1,1
"461",1,10,10,10,1,1
"462",1,26,26,62,2,2
"463",1,32,32,84,1,1
"464",1,4,4,3,2,2
"465",1,4,4,3,2,2
"466",1,8,8,7,1,1
"467",1,2,2,1,1,1
"468",1,8,8,7,1,1
"469",0,0,0,0,0,0
"470",1,32,32,84,1,1
"471",1,4,4,3,2,2
"472",1,20,20,47,1,1
"473",1,24,24,57,1,1
"474",1,2,2,1,1,1
"475",1,2,2,1,1,1
"476",1,2,2,1,1,1
"477",1,22,22,52,3,3
"478",1,26,26,62,3,3
"479",1,26,26,62,3,3
"480",1,28,28,67,2,2
"481",1,32,32,84,1,1
"482",1,20,20,47,1,1
"483",1,12,12,12,1,1
"484",1,34,34,91,1,1
"485",1,34,34,91,2,2
"486",1,2,2,1,1,1
"487",1,6,6,5,2,2
"488",1,2,2,1,1,1
"489",1,6,6,5,2,2
"490",1,8,8,7,2,2
"491",1,26,26,62,2,2
"492",1,36,36,98,2,2
"493",1,18,18,21,1,1
"494",1,12,12,12,1,1
"495",1,8,8,7,1,1
"496",1,26,26,62,1,1
"497",1,2,2,1,1,1
"498",1,4,4,3,2,2
"499",1,34,34,91,1,1
"500",1,2,2,1,1,1
"501",1,36,36,98,2,2
"502",1,20,20,47,1,1
"503",1,6,6,5,2,2
"504",1,4,4,3,1,1
"505",1,20,20,47,1,1
"506",1,4,4,3,1,1
"507",1,4,4,3,2,2
"508",1,28,28,67,3,3
"509",1,20,20,47,1,1
"510",1,24,24,57,1,1
"511",1,26,26,62,3,3
"512",1,32,32,84,1,1
"513",1,18,18,21,1,1
"514",1,20,20,47,2,2
"515",1,20,20,47,2,2
"516",1,2,2,1,1,1
"517",1,24,24,57,2,2
"518",1,2,2,1,1,1
"519",1,26,26,62,1,1
"520",1,32,32,84,2,2
"521",1,34,34,91,1,1
"522",1,28,28,67,1,1
"523",1,10,10,10,2,2
"524",1,28,28,67,1,1
"525",1,2,2,1,1,1
